Week,Open.Price,High.Price,Low.Price,Close.Price,Average.No.of.Shares,No..of.Trades,Total.Turnover..Rs..,Spread.High.Low,Spread.Close.Open,WAP
32,207.75,209.62,203.88,205.7,179882,1846.2,36999946.6,5.74,-2.05,205.69
33,204.8,207.15,201.14,202.81,158247,1753.6,32315550.6,6.01,-1.99,204.21
34,206.56,208.98,204.08,206.13,80561,1112.4,16621321.4,4.9,-0.43,206.32
35,201.83,203.13,197.62,199.38,96047,1304.8,19182900.2,5.51,-2.45,199.72
36,197.88,199.87,196.19,197.67,107694,1030,21326489.2,3.68,-0.21,198.03
37,192.31,193.54,188.19,189.25,106116,999.6,20157852,5.35,-3.06,189.96
38,177.27,177.91,166.86,169.86,226723,2150.6,38451945.8,11.05,-7.41,169.6
39,155.12,156.67,147.6,150.65,258764,2986.8,38761809.2,9.07,-4.47,149.8
40,161.65,168,158.03,164.65,243326,3159.8,41044621.2,9.97,3,168.68
41,173.21,176.36,168.71,173.87,159479,2367.2,27483177.2,7.65,0.66,172.33
42,183.66,186.17,180.93,183.92,131134,1766.2,24060717.8,5.24,0.26,183.48
43,186.24,190.48,182.68,185.89,386606,3011.6,73519296,7.8,-0.35,190.17
44,187.34,190.41,184.31,188.28,122161,1484.2,22927094.6,6.1,0.94,187.68
45,198.69,203.89,196.27,199.89,278078,3168,55931959.4,7.62,1.2,201.14
46,202.15,204.94,197.48,200,109425,1270.4,21981691.6,7.46,-2.15,200.88
47,202.32,207.14,198.43,202.84,222308,2282,45521027.6,8.71,0.52,204.77
48,210.17,213.09,206.01,208.93,299455,2706,63324673.8,7.08,-1.24,211.47
49,202.15,205.76,198.91,200.49,160015,1465.4,32165509,6.85,-1.66,201.02
50,190.33,193.55,181.88,183.53,292672,3265.6,54015240.4,11.67,-6.8,184.56
51,181.6,184.4,177.62,180.97,103065,1427,18662777.6,6.78,-0.63,181.08
52,179.49,183.2,176.42,179.79,98286,1253.6,17662747.8,6.78,0.3,179.71
53,197.7,202.89,193.54,198.77,262315,2531.8,52200507.8,9.35,1.07,199
54,206.36,214.33,202.47,209.96,412520,3592.8,87943450.8,11.86,3.6,213.19
55,217.46,220.01,212.64,214.78,399922,3474.2,86872887.4,7.37,-2.68,217.22
